agente_cultural_id,provincia_id,localidad_id,provincia,localidad,nombre,direccion_descripcion,codigo_postal,codigo_indicativo_telefono,telefono,mail,web,latitud,longitud,tipo_latitud_longitud,actividad_especifica,fuente,titular
601,58,58007010,Neuquén,Aluminé,Aluminé Televisión,Aluminé,8345,2942,496486,,,-39.23641655,-70.91690898,localización precisa,,Dirección de Cultura Aluminé,
602,6,6056010,Buenos Aires,Bahía Blanca,LU 80 - TV Canal 9,O' Higgins 267,8000,291,4559776,c9bbca@infovia.com.ar / canal9noticias@telefe.com.ar,,-38.722268,-62.269177,localización precisa,,SInCA / AFSCA,Grupo TELEFE
603,6,6056010,Buenos Aires,Bahía Blanca,LU 81 - TV Canal 7,Blandengues 225,8000,291,4550000,sietemundo@artear.com.ar,,-38.71684,-62.275447,localización precisa,,SInCA / AFSCA,Grupo Clarín
604,2,2000010,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,LS 84 - TV CANAL 11,Pavón 2444,1248,,43081354,info@telefe.com,www.telefe.com,-34.6272249,-58.399361,localización precisa,,SINCA / AFSCA,Grupo TELEFE
605,2,2000010,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,LS 85 - TV CANAL 13,Lima 1261,1138,,43050013,eltrecetv@artear.com,www.eltrecetv.com.ar,-34.6231958,-58.3814477,localización precisa,,SInCA / AFSCA,Grupo Clarín
606,2,2000010,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,LS 86 - TV AMERICA TV,Fitz Roy 1650,C1414CHX,,50322222,info@america2.com.ar,www.america2.com.ar,-34.5845484,-58.4367468,localización precisa,,SInCA / AFSCA,Grupo Uno (De Narváez / Vila / Manzano)
607,2,2000010,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,LS 83 - TV CANAL 9,Av Dorrego 1782,C1414CKZ,,32209999,,www.canal9.com.ar,-34.580879,-58.442692,localización precisa,,SInCA,
608,2,2000010,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,LS 82 - TV CANAL 7,Av Pres. Figueroa Alcorta 2977,C1425CKI,,48082500,contacto@tvpublica.com.ar,www.tvpublica.com.ar,-34.580616,-58.397861,localización precisa,,,
609,26,26021030,Chubut,Comodoro Rivadavia,Lu 83 - Tv Canal 9,Hipólito Irigoyen 1535,9000,297,4475136,protel@arnet.com.ar,,-45.873439,-67.497908,localización precisa,,SInCA / AFSCA,Independiente
610,14,14014010,Córdoba,Córdoba,LV 85 - TV Canal 8,Av Vélez Sarsfield 4300,5000,351,4610002,teleochonoticias@uolsinectis.com.ar,,-31.46052,-64.201591,localización precisa,,SInCA / AFSCA,Grupo TELEFE
